타임스탬프,모델명,파라미터,점수
2025-08-04 17:13:48,lstm,hidden64_layers2_bs16_ep5_lr0.001,0.71104
2025-08-04 19:11:11,lstm_custom,hd32_nl2_lr9e-04_wd4e-05_a0.61,0.70529
2025-08-06 10:44:27,lstm,hd64_nl3_bs16_lr5e-04_wd1e-06_a0.38,1.340064
2025-08-06 12:29:46,lstm,lb28_st14_eb32_hd64_nl2_bs32_lr1e-02_wd9e-05_a0.80,1.117278
2025-08-06 15:39:22,lstm_custom,lb28_st14_eb32_hd128_nl1_bs16_lr2e-03_wd3e-06,1.965844
2025-08-06 16:02:45,lstm_custom,lb28_st14_eb32_hd128_nl1_bs16_lr2e-03_wd3e-06,1.965844
2025-08-06 16:22:23,lstm_custom,lb28_st14_eb32_hd128_nl1_bs16_lr2e-03_wd3e-06,1.965844
2025-08-06 16:33:11,lstm_custom,lb28_st14_eb32_hd128_nl1_bs16_lr2e-03_wd3e-06,1.965844
2025-08-06 17:05:08,lstm_custom,lb25_st3_eb16_hd256_nl1_bs32_lr2e-03_wd1e-06,1.741924
